id,districts_id:id,name
c_442,d_6,Talgaspe
c_443,d_6,Talpe
c_444,d_6,Tawalama
c_445,d_6,Tiranagama
c_446,d_6,Udalamatta
c_447,d_6,Udugama
c_448,d_6,Uluvitike
c_449,d_6,Unawatuna
c_450,d_6,Unawitiya
c_451,d_6,Uragaha
c_452,d_6,Uragasmanhandiya
c_453,d_6,Wakwella
c_454,d_6,Walahanduwa
c_455,d_6,Wanchawela
c_456,d_6,Wanduramba
c_457,d_6,Warukandeniya
c_458,d_6,Watugedara
c_459,d_6,Weihena
c_460,d_6,Welikanda
c_461,d_6,Wilanagama
c_462,d_6,Yakkalamulla
c_463,d_6,Yatalamatta
c_464,d_7,Akaragama
c_465,d_7,Ambagaspitiya
c_466,d_7,Ambepussa
c_467,d_7,Andiambalama
c_468,d_7,Attanagalla
c_469,d_7,Badalgama
c_470,d_7,Banduragoda
c_471,d_7,Batuwatta
c_472,d_7,Bemmulla
c_473,d_7,Biyagama IPZ
c_474,d_7,Bokalagama
c_475,d_7,Bollete (WP)
c_476,d_7,Bopagama
c_477,d_7,Buthpitiya
c_478,d_7,Dagonna
c_479,d_7,Danowita
c_480,d_7,Debahera
c_481,d_7,Dekatana
c_482,d_7,Delgoda
c_483,d_7,Delwagura
c_484,d_7,Demalagama
c_485,d_7,Demanhandiya
c_486,d_7,Dewalapola
c_487,d_7,Divulapitiya
c_488,d_7,Divuldeniya
c_489,d_7,Dompe
c_490,d_7,Dunagaha
c_491,d_7,Ekala
c_492,d_7,Ellakkala
c_493,d_7,Essella
c_494,d_7,Galedanda
c_495,d_7,Gampaha
c_496,d_7,Ganemulla
c_497,d_7,Giriulla
c_498,d_7,Gonawala
c_499,d_7,Halpe
c_500,d_7,Hapugastenna
c_501,d_7,Heiyanthuduwa
c_502,d_7,Hinatiyana Madawala
c_503,d_7,Hiswella
c_504,d_7,Horampella
c_505,d_7,Hunumulla
c_506,d_7,Hunupola
c_507,d_7,Ihala Madampella
c_508,d_7,Imbulgoda
c_509,d_7,Ja-Ela
c_510,d_7,Kadawatha
c_511,d_7,Kahatowita
c_512,d_7,Kalagedihena
c_513,d_7,Kaleliya
c_514,d_7,Kandana
c_515,d_7,Katana
c_516,d_7,Katudeniya
c_517,d_7,Katunayake
c_518,d_7,Katunayake Air Force Camp
c_519,d_7,Katunayake(FTZ)
c_520,d_7,Katuwellegama
c_521,d_7,Kelaniya
c_522,d_7,Kimbulapitiya
c_523,d_7,Kirindiwela
c_524,d_7,Kitalawalana
c_525,d_7,Kochchikade
c_526,d_7,Kotadeniyawa
c_527,d_7,Kotugoda
c_528,d_7,Kumbaloluwa
c_529,d_7,Loluwagoda
c_530,d_7,Mabodale
c_531,d_7,Madelgamuwa
c_532,d_7,Makewita
c_533,d_7,Makola
c_534,d_7,Malwana
c_535,d_7,Mandawala
c_536,d_7,Marandagahamula
c_537,d_7,Mellawagedara
c_538,d_7,Minuwangoda
c_539,d_7,Mirigama
c_540,d_7,Miriswatta
c_541,d_7,Mithirigala
c_542,d_7,Muddaragama
c_543,d_7,Mudungoda
c_544,d_7,Mulleriyawa New Town
c_545,d_7,Naranwala
c_546,d_7,Nawana
c_547,d_7,Nedungamuwa
c_548,d_7,Negombo
c_549,d_7,Nikadalupotha
c_550,d_7,Nikahetikanda
c_551,d_7,Nittambuwa
c_552,d_7,Niwandama
c_553,d_7,Opatha
c_554,d_7,Pamunugama
c_555,d_7,Pamunuwatta
c_556,d_7,Panawala
c_557,d_7,Pasyala
c_558,d_7,Peliyagoda
c_559,d_7,Pepiliyawala
c_560,d_7,Pethiyagoda
c_561,d_7,Polpithimukulana
c_562,d_7,Puwakpitiya
c_563,d_7,Radawadunna
c_564,d_7,Radawana
c_565,d_7,Raddolugama
c_566,d_7,Ragama
c_567,d_7,Ruggahawila
c_568,d_7,Seeduwa
c_569,d_7,Siyambalape
c_570,d_7,Talahena
c_571,d_7,Thambagalla
c_572,d_7,Thimbirigaskatuwa
c_573,d_7,Tittapattara
c_574,d_7,Udathuthiripitiya
c_575,d_7,Udugampola
c_576,d_7,Uggalboda
c_577,d_7,Urapola
c_578,d_7,Uswetakeiyawa
c_579,d_7,Veyangoda
c_580,d_7,Walgammulla
c_581,d_7,Walpita
c_582,d_7,Walpola (WP)
c_583,d_7,Wathurugama
c_584,d_7,Watinapaha
c_585,d_7,Wattala
c_586,d_7,Weboda
c_587,d_7,Wegowwa
c_588,d_7,Weweldeniya
c_589,d_7,Yakkala
c_590,d_7,Yatiyana
c_591,d_8,Ambalantota
c_592,d_8,Angunakolapelessa
c_593,d_8,Angunakolawewa
